Player Name,Alt Player Name,dob,age,ioc,hand,height,wikipedia_intro,photo_url,name_first,name_last,wikidata_id,Index Player Name,is_duplicate
Abdulrahman Alawadhi,A. Alawadhi,1992-02-17,32.0,KUW,R,,404 Client Error: Not Found for url: https://en.wikipedia.org/wiki/Abdulrahman_Alawadhi,,Abdulrahman,Alawadhi,,Alawadhi A.,0
Abedallah Shelbayh,A. Shelbayh,2003-11-16,20.0,JOR,L,,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Abedallah_Shelbayh_%282023_Cary%29_01_%28cropped%29.jpg/220px-Abedallah_Shelbayh_%282023_Cary%29_01_%28cropped%29.jpg,Abedallah,Shelbayh,Q102246554,Shelbayh A.,0
Adam Moundir,A. Moundir,1995-04-26,29.0,SUI,R,191.0,"Adam Moundir (born 26 April 1995) is a Swiss–Moroccan tennis player. In June 2019, Moundir switched nationalities on the ITF and ATP to represent Morocco.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Morocco.svg/23px-Flag_of_Morocco.svg.png,Adam,Moundir,Q62808065,Moundir A.,0
Adam Neff,A. Neff,2001-05-30,23.0,USA,R,,"Adam Neff (born May 30, 2001) is an American tennis player.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Flag_of_the_United_States_%2823px%29.png/23px-Flag_of_the_United_States_%2823px%29.png,Adam,Neff,,Neff A.,0
Adam Pavlasek,A. Pavlasek,1994-10-08,30.0,CZE,R,186.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Pavlasek_RG18_%2818%29_%2842978775651%29.jpg/220px-Pavlasek_RG18_%2818%29_%2842978775651%29.jpg,Adam,Pavlasek,Q5181660,Pavlasek A.,0
Adam Walton,A. Walton,1999-04-17,25.0,AUS,U,,"Adam Walton (born 31 May 1971) is a British radio disc jockey who has presented shows on BBC Radio Wales since 1993. He is also a member of Mold-based, indie band The Immediate, and a resident DJ at Telford's Warehouse in Chester. Adam has also written a book On Making Music.",,Adam,Walton,,Walton A.,0
Adrian Andreev,A. Andreev,2001-05-12,23.0,BUL,R,180.0,"Adrian Andreev (Bulgarian: Адриан Андреев, born 12 May 2001) is a Bulgarian professional tennis player, who competes mainly on the ATP Challenger Tour. He has a career-high ATP singles ranking of World No. 183 achieved on 18 September 2023. He won the 2018 US Open Junior doubles title with Anton Matusevich. He also has a career-high doubles ranking of world No. 584 achieved on 12 September 2022. He is currently the No. 2 Bulgarian player.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Andreev_RGQ23.jpg/220px-Andreev_RGQ23.jpg,Adrian,Andreev,Q47536566,Andreev A.,0
Adrian Mannarino,A. Mannarino,1988-06-29,36.0,FRA,L,183.0,"Adrian Mannarino (born 29 June 1988) is a French professional tennis player. He has a career-high ATP singles ranking of world No. 17, attained on 29 January 2024. He has won five ATP Tour singles titles, three on hardcourt and two on grass. He is currently the No. 4 French player.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Mannarino_RG19_%2819%29_%2848199151301%29.jpg/220px-Mannarino_RG19_%2819%29_%2848199151301%29.jpg,Adrian,Mannarino,Q373522,Mannarino A.,0
Adrian Menendez Maceiras,A. Menendez Maceiras,1985-10-28,39.0,ESP,R,185.0,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Adri%C3%A1n_Men%C3%A9ndez-Maceiras_7%2C_2015_Wimbledon_Qualifying_-_Diliff.jpg/220px-Adri%C3%A1n_Men%C3%A9ndez-Maceiras_7%2C_2015_Wimbledon_Qualifying_-_Diliff.jpg,Adrian,Menendez Maceiras,Q377925,Menendez Maceiras A.,0
Adrian Ungur,A. Ungur,1985-01-25,39.0,ROU,R,178.0,"Adrian Ungur (born 22 January 1985) is a Romanian former tennis player who mainly competed on the ATP Challenger Tour. He was a member of the Romania Davis Cup Team and was coached by Fabrizio Fanucci. In June 2012, Ungur reached his career-high ATP singles ranking of World No. 79. His most notable result was a four set victory over former World No. 3 David Nalbandian in the first round of the 2012 French Open.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Ungur_WMQ16_%288%29_%2828210805805%29.jpg/220px-Ungur_WMQ16_%288%29_%2828210805805%29.jpg,Adrian,Ungur,Q374499,Ungur A.,0
